	Kingdom	Phylum	Class	Order	Family	Genus	Species
Hu_ASV_88	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_89	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_90	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_91	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_92	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Hu_ASV_93	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_94	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_95	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_96	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_97	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_98	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_99	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_100	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_101	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_102	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_103	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_104	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_105	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_106	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_107	Fungi	Ascomycota	Sordariomycetes	NA	NA	Phialemoniopsis	Phialemoniopsis curvata
Hu_ASV_108	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_109	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_110	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_111	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_112	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_113	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_114	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_115	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_116	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_117	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_118	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_119	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_120	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	capsuligena
Hu_ASV_121	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_122	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
Hu_ASV_123	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_124	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_125	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_126	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_127	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_128	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_129	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	cerevisiae
Hu_ASV_130	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	cerevisiae
Hu_ASV_131	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_132	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_133	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_134	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_135	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_136	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_137	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	mucilaginosa
Hu_ASV_138	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_139	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_140	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_141	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_142	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_143	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_144	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_145	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_146	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_147	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_148	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_149	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_150	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_151	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	tassiana
Hu_ASV_152	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_153	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_154	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_155	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_156	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_157	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_158	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_159	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_160	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	tropicalis
Hu_ASV_161	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_162	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_163	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_164	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_165	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_166	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	NA
Hu_ASV_167	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	heimaeyensis
Hu_ASV_168	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_169	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_170	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_171	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_172	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_173	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_174	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_175	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	cerevisiae
Hu_ASV_176	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_177	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_178	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_179	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_180	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_181	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_182	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_183	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_184	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_185	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_186	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_187	Metazoa	NA	NA	NA	NA	NA	NA
Hu_ASV_188	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_189	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_190	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_191	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_192	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_193	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_194	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_195	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_196	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_197	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_198	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_199	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_200	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_201	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_202	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_203	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_204	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_205	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_206	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_207	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_208	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_209	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_210	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_211	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_212	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_213	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_214	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_215	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_216	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_217	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_218	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_219	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_220	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_221	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_222	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_223	Fungi	Mucoromycota	Glomeromycetes	Diversisporales	Gigasporaceae	Racocetra	Racocetra crispa
Hu_ASV_224	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_225	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_226	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_227	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_228	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_229	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_230	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_231	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_232	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_233	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_234	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_235	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_236	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_237	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_238	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_239	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_240	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_241	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_242	Fungi	NA	NA	NA	NA	NA	NA
