	Kingdom	Phylum	Class	Order	Family	Genus	Species
Hu_ASV_397	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	jadinii
Hu_ASV_398	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
Hu_ASV_399	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_400	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_401	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_402	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_403	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_404	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_405	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_406	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_407	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_408	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_409	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_410	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_411	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_412	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_413	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_414	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_415	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_416	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_417	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_418	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_419	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_420	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_421	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_422	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_423	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_424	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_425	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_426	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_427	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_428	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_429	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_430	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_431	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_432	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_433	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_434	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_435	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_436	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_437	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_438	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_439	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	patagonicus
Hu_ASV_440	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_441	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_442	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_443	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_444	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_445	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_446	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_447	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_448	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_449	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_450	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_451	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_452	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_453	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_454	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_455	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_456	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_457	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_458	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_459	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_460	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_461	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_462	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_463	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_464	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	dermatis
Hu_ASV_465	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_466	Metazoa	NA	NA	NA	NA	NA	NA
Hu_ASV_467	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_468	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_469	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_470	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_471	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_472	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_473	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_474	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_475	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_476	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_477	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_478	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_479	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_480	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_481	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_482	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_483	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_484	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_485	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_486	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_487	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_488	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_489	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_490	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_491	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_492	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_493	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_494	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_495	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_496	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_497	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_498	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_499	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_500	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_501	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_502	Metazoa	NA	NA	NA	NA	NA	NA
Hu_ASV_503	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_504	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_505	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_506	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_507	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_508	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_509	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_510	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_511	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_512	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_513	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
Hu_ASV_514	Metazoa	NA	NA	NA	NA	NA	NA
Hu_ASV_515	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_516	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_517	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_518	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_519	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_520	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_521	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_522	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_523	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_524	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_525	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_526	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_527	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_528	Viridiplantae	Anthophyta	Monocotyledonae	NA	Alliaceae	Allium	altaicum
Hu_ASV_529	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_530	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_531	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_532	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_533	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_534	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_535	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_536	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_537	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_538	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_539	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_540	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_541	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_542	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_543	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_544	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_545	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_546	Fungi	Basidiomycota	Cystobasidiomycetes	NA	NA	Cystobasidium	Cystobasidium psychroaquaticum
Hu_ASV_547	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_548	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_549	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_550	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_551	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_552	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_553	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_554	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_555	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_556	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_557	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_558	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_559	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_560	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_561	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_562	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_563	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_564	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_565	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_566	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_567	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_568	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_569	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_570	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_571	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_572	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_573	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_574	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_575	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_576	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_577	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_578	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	asahii
Hu_ASV_579	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_580	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_581	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_582	Metazoa	NA	NA	NA	NA	NA	NA
Hu_ASV_583	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_584	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_585	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_586	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_587	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_588	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_589	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_590	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_591	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_592	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_593	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_594	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_595	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_596	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_597	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_598	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_599	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_600	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_601	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_602	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_603	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_604	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_605	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_606	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_607	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_608	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_609	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_610	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_611	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_612	Protista	NA	NA	NA	NA	NA	NA
Hu_ASV_613	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_614	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_615	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_616	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_617	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_618	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_619	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_620	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_621	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_622	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_623	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_624	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_625	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_626	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_627	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_628	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_629	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_630	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_631	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_632	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_633	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_634	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_635	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_636	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_637	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_638	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_639	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_640	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_641	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_642	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_643	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_644	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_645	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_646	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_647	Viridiplantae	NA	NA	NA	NA	NA	NA
Hu_ASV_648	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_649	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_650	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_651	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_652	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_653	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_654	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_655	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_656	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_657	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_658	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_659	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_660	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_661	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_662	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_663	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_664	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_665	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_666	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_667	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_668	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_669	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_670	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_671	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_672	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	NA
Hu_ASV_673	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_674	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_675	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_676	Protista	NA	NA	NA	NA	NA	NA
Hu_ASV_677	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_678	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_679	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_680	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_681	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_682	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_683	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_684	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_685	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_686	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_687	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_688	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_689	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_690	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_691	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	obtusa
Hu_ASV_692	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_693	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_694	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_695	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_696	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_697	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_698	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_699	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_700	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_701	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_702	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_703	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_704	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_705	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_706	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_707	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_708	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_709	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_710	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_711	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_712	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_713	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_714	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_715	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_716	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_717	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_718	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_719	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_720	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_721	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_722	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_723	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_724	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_725	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bisporus
Hu_ASV_726	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	exigua
Hu_ASV_727	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_728	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_729	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_730	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_731	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_732	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_733	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_734	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	obtusa
Hu_ASV_735	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_736	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_737	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_738	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_739	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_740	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_741	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_742	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_743	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_744	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_745	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_746	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_747	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_748	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_749	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_750	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_751	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_752	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_753	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_754	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_755	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_756	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_757	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_758	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_759	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	NA
Hu_ASV_760	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_761	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_762	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_763	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_764	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_765	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_766	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_767	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_768	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_769	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_770	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_771	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_772	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_773	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_774	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_775	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_776	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_777	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_778	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_779	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_780	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_781	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_782	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_783	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_784	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_785	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_786	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_787	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_788	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_789	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_790	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_791	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_792	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_793	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_794	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	pullulans
Hu_ASV_795	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_796	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_797	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_798	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_799	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_800	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_801	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_802	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_803	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_804	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_805	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_806	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_807	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_808	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_809	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_810	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	polymorpha
Hu_ASV_811	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_812	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_813	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_814	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_815	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_816	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_817	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_818	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_819	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_820	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_821	NA	NA	NA	NA	NA	NA	NA
